time_s,cam_drop_app_events,cam_rx_ok_events,cam_drop_ratio,min_gap_m,min_ttc_s,control_actions_per_s,collisions_per_s,collisions_cum,case
0,0.0,0.0,,,,0.0,0.0,0.0,baseline
1,0.0,0.0,,6.01,,0.0,0.0,0.0,baseline
2,0.0,328.0,0.0,6.15,,0.0,0.0,0.0,baseline
3,0.0,557.0,0.0,6.009999999999999,7.1716417910447765,0.0,0.0,0.0,baseline
4,0.0,653.0,0.0,6.02,11.203252032520322,0.0,0.0,0.0,baseline
5,0.0,698.0,0.0,8.99,8.472636815920401,0.0,0.0,0.0,baseline
6,0.0,581.0,0.0,11.390000000000002,10.457516339869285,0.0,0.0,0.0,baseline
7,0.0,630.0,0.0,11.909999999999997,15.734042553191482,0.0,0.0,0.0,baseline
0,0.0,0.0,,,,0.0,0.0,0.0,lossy
1,0.0,0.0,,6.01,,0.0,0.0,0.0,lossy
2,259.0,69.0,0.7896341463414634,6.15,,0.0,0.0,0.0,lossy
3,444.0,113.0,0.7971274685816876,6.009999999999999,7.1716417910447765,0.0,0.0,0.0,lossy
4,526.0,127.0,0.8055130168453293,6.02,11.203252032520322,0.0,0.0,0.0,lossy
5,544.0,154.0,0.7793696275071633,8.99,8.472636815920401,0.0,0.0,0.0,lossy
6,455.0,126.0,0.7831325301204819,11.390000000000002,10.457516339869285,0.0,0.0,0.0,lossy
7,501.0,129.0,0.7952380952380952,11.909999999999997,15.734042553191482,0.0,0.0,0.0,lossy
