time_s,min_gap_m,min_ttc_s,vehicles
0.0,,,0
0.1,,,6
0.2,,,6
0.3,,,6
0.4,,,6
0.5,,,6
0.6,,,6
0.7,,,6
0.8,,,6
0.9,,,6
1.0,,,6
1.1,,,6
1.2,,,6
1.3,,,6
1.4,,,6
1.5,,,6
1.6,,,6
1.7,,,6
1.8,,,6
1.9,7.630000000000001,,7
2.0,6.16,,12
2.1,6.740000000000001,,12
2.2,7.2299999999999995,,12
2.3,7.67,,12
2.4,8.08,,12
2.5,8.43,,13
2.6,8.75,,13
2.7,9.05,,14
2.8,10.64,,15
2.9,11.149999999999999,,15
3.0,11.620000000000001,,15
3.1,12.049999999999999,,15
3.2,12.440000000000001,,15
3.3,12.79,,15
3.4,13.130000000000003,,15
3.5,13.43,,15
3.6,13.690000000000001,,15
3.7,13.920000000000002,,15
3.8,14.11,,15
3.9,6.18,,17
4.0,6.740000000000001,,17
4.1,6.050000000000001,,18
4.2,6.3500000000000005,,18
4.3,6.61,,18
4.4,6.390000000000001,,19
4.5,6.990000000000001,,19
4.6,6.34,104.99999999999959,20
4.7,6.94,24.416666666666682,20
4.8,7.53,17.129411764705893,20
4.9,7.719999999999999,11.645161290322587,20
5.0,7.8500000000000005,10.070422535211268,20
5.1,7.970000000000001,8.837500000000002,20
5.2,8.07,8.848101265822784,20
5.3,8.170000000000002,9.592814371257482,20
5.4,8.280000000000001,8.978723404255323,20
5.5,8.370000000000001,8.973118279569894,20
5.6,8.440000000000001,8.924324324324328,20
5.7,8.51,9.284090909090905,20
5.8,8.59,9.17613636363637,20
5.9,8.650000000000002,10.062893081761008,20
6.0,8.709999999999999,11.410071942446038,20
6.1,8.77,11.909090909090907,20
6.2,8.810000000000002,10.59863945578231,20
6.3,8.860000000000001,11.028571428571425,20
6.4,8.9,14.893203883495142,20
6.5,8.94,12.789915966386559,20
6.6,8.980000000000002,12.37704918032787,20
6.7,9.020000000000001,12.48220064724919,20
6.8,9.049999999999999,11.697247706422019,20
6.9,9.07,11.703703703703706,20
7.0,9.1,11.08849557522124,20
7.1,9.14,10.825581395348836,20
7.2,9.149999999999999,11.050898203592814,20
7.3,9.18,11.186544342507645,20
7.4,9.209999999999999,10.984848484848486,20
7.5,9.22,11.052307692307693,20
7.6,9.249999999999998,10.019718309859158,20
7.7,9.309999999999999,9.043701799485863,20
7.8,9.399999999999999,8.355769230769232,20
7.9,9.500000000000002,7.782312925170066,20
8.0,9.62,7.006211180124224,20
8.1,12.020000000000003,6.548133595284872,20
8.2,12.0,6.072222222222223,20
8.3,11.979999999999997,5.838768115942029,20
8.4,11.949999999999996,5.3809523809523805,20
8.5,11.950000000000003,4.9648,20
8.6,11.919999999999995,4.608497723823976,20
8.7,11.899999999999999,4.301449275362319,20
8.8,11.869999999999997,4.323397913561847,20
8.9,11.850000000000001,4.20326409495549,20
9.0,11.849999999999994,4.017441860465117,20
9.1,11.829999999999998,3.947291361639824,20
9.2,11.82,3.8519061583577714,20
9.3,11.810000000000002,3.803863298662704,20
9.4,11.799999999999997,3.715350223546945,20
9.5,11.79,3.6223880597014917,20
9.6,11.79,3.484490398818316,20
9.7,11.790000000000006,3.384047267355982,20
9.8,11.770000000000003,3.2850812407680947,20
9.9,11.769999999999996,3.217910447761194,20
10.0,11.759999999999998,3.0422740524781338,20
10.1,11.769999999999996,2.92040520984081,20
10.2,11.759999999999998,3.176948051948052,20
10.3,11.740000000000002,3.5856873822975515,20
10.4,11.739999999999995,4.074561403508772,20
10.5,11.729999999999997,4.715025906735752,20
10.6,11.709999999999994,5.158959537572255,20
10.7,11.729999999999997,5.245508982035929,20
10.8,11.719999999999999,5.128358208955223,20
10.9,11.699999999999996,5.140243902439025,20
11.0,11.700000000000003,4.870206489675516,20
11.1,11.700000000000003,4.65994236311239,20
11.2,11.700000000000003,4.625730994152047,20
11.3,11.699999999999996,4.582840236686389,20
11.4,11.689999999999998,4.508928571428571,20
11.5,11.700000000000003,4.463855421686747,20
11.6,11.68,4.37764350453172,20
11.7,11.70000000000001,4.2749244712990935,20
11.8,11.68,3.9913294797687846,20
11.9,11.680000000000007,4.215625000000001,20
12.0,11.690000000000005,4.027522935779817,20
12.1,11.669999999999995,3.7735294117647054,20
12.2,11.670000000000009,3.6279069767441854,20
12.3,11.660000000000004,3.693009118541033,20
12.4,11.68,3.5359281437125736,20
12.5,11.470000000000006,3.3834808259587037,20
12.6,6.520000000000003,3.420245398773008,20
12.7,8.350000000000001,3.6046511627906983,20
12.8,10.209999999999994,3.875457875457875,20
12.9,10.32,4.0,20
13.0,10.120000000000005,5.2164948453608275,20
13.1,9.979999999999997,6.8827586206896525,20
