time_s,vehicle_id,event_type,source_id,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
2.18733,veh9,lane0_slowdown,2,9.19775,0.00724887,0,0,3.47
2.38733,veh9,lane0_slowdown,2,10.404,0.00724887,0,0,3.47
2.58733,veh9,lane0_slowdown,2,11.6014,0.00724887,0,0,3.47
2.78733,veh9,lane0_slowdown,2,12.8081,0.00724887,0,0,3.47
2.99183,veh9,lane0_slowdown,2,14.0072,0.00724887,0,0,3.47
3.19183,veh9,lane0_slowdown,2,15.3309,0.00724887,0,0,3.47
3.39183,veh9,lane0_slowdown,2,16.7587,0.00724887,0,0,3.47
3.59183,veh9,lane0_slowdown,2,18.3234,0.00724887,0,0,3.47
3.80458,veh9,lane0_slowdown,2,19.6685,0.00724887,0,0,3.47
4.00458,veh9,lane0_slowdown,2,21.498,0.00724887,0,0,3.47
4.20458,veh9,lane0_slowdown,2,23.4334,0.00724887,0,0,3.47
4.30458,veh9,lane0_slowdown,2,24.1839,5.90725,0,0,3.47
4.40458,veh9,lane0_slowdown,2,24.8783,15.4072,0,0,3.47
4.49658,veh9,lane0_slowdown,2,25.9704,25.6072,0,0,3.47
4.59658,veh9,lane0_slowdown,2,26.7829,35.8072,0,0,3.47
